date,product_id,product_name,product_category,purchase,add_to_cart,click,view
5012024,DQProduk-024,Label Maker DQLab,Elektronik,21,180,699,1192
5012024,DQProduk-025,Tipe-X Roller DQLab,Alat Tulis,41,363,1995,3533
5012024,DQProduk-027,Staples + Box DQLab,Perlengkapan Meja,81,934,3705,4681
5012024,DQProduk-030,Powerbank Logo DQLab,Elektronik,120,1053,3477,6009
5012024,DQProduk-031,Lakban + Cutter DQLab,Pengemasan,26,261,1233,1938
5012024,DQProduk-034,Speaker Mini DQLab,Elektronik,34,310,1351,1851
6012024,DQProduk-001,Buku Agenda DQLab,Merchandise,219,2539,9266,16313
6012024,DQProduk-002,Termos Logo DQLab,Merchandise,81,742,4127,6836
6012024,DQProduk-005,Dompet Kartu DQLab,Merchandise,11,98,321,347
6012024,DQProduk-006,Earphone Kantor DQLab,Elektronik,189,2139,12761,13663
6012024,DQProduk-007,Botol Minum DQLab,Merchandise,235,2673,13902,18383
6012024,DQProduk-008,Kartu Nama DQLab,Kertas & Cetak,110,980,4990,6622
6012024,DQProduk-009,Pulpen Metal DQLab,Alat Tulis,145,1464,6157,9985
6012024,DQProduk-010,Kotak Serbaguna DQLab,Organisasi,67,650,3201,5508
6012024,DQProduk-014,Label Nama DQLab,Kertas & Cetak,83,813,2843,3219
6012024,DQProduk-017,Set Tulis Eksekutif DQLab,Merchandise,114,1176,6436,6902
6012024,DQProduk-018,Printer Mini DQLab,Elektronik,39,425,2248,3030
6012024,DQProduk-020,Papan Klip DQLab,Perlengkapan Meja,7,58,342,445
6012024,DQProduk-021,Kalkulator Besar DQLab,Elektronik,56,611,2073,3354
6012024,DQProduk-022,Map Eksklusif DQLab,Organisasi,1,8,27,46
6012024,DQProduk-024,Label Maker DQLab,Elektronik,79,723,4336,4699
6012024,DQProduk-025,Tipe-X Roller DQLab,Alat Tulis,24,287,1427,2040
6012024,DQProduk-027,Staples + Box DQLab,Perlengkapan Meja,132,1250,6681,9255
6012024,DQProduk-030,Powerbank Logo DQLab,Elektronik,67,733,3766,5585
6012024,DQProduk-031,Lakban + Cutter DQLab,Pengemasan,13,116,618,1186
6012024,DQProduk-033,Tumbler Logo DQLab,Merchandise,10,85,413,486
6012024,DQProduk-034,Speaker Mini DQLab,Elektronik,64,652,2399,2617
7012024,DQProduk-001,Buku Agenda DQLab,Merchandise,38,402,1850,2296
7012024,DQProduk-002,Termos Logo DQLab,Merchandise,134,1226,7217,13874
7012024,DQProduk-004,Notebook A5 DQLab,Buku Catatan,3,34,147,162
7012024,DQProduk-005,Dompet Kartu DQLab,Merchandise,7,58,194,200
7012024,DQProduk-006,Earphone Kantor DQLab,Elektronik,230,1843,7630,12573
7012024,DQProduk-007,Botol Minum DQLab,Merchandise,77,871,3421,4964
7012024,DQProduk-008,Kartu Nama DQLab,Kertas & Cetak,85,749,3827,7370
7012024,DQProduk-009,Pulpen Metal DQLab,Alat Tulis,115,1216,4821,5543
7012024,DQProduk-010,Kotak Serbaguna DQLab,Organisasi,4,44,183,194
7012024,DQProduk-014,Label Nama DQLab,Kertas & Cetak,53,564,3021,3477
7012024,DQProduk-017,Set Tulis Eksekutif DQLab,Merchandise,76,809,2758,3836
7012024,DQProduk-018,Printer Mini DQLab,Elektronik,101,1142,3559,4537
7012024,DQProduk-020,Papan Klip DQLab,Perlengkapan Meja,6,61,209,339
7012024,DQProduk-021,Kalkulator Besar DQLab,Elektronik,50,511,1592,1643
7012024,DQProduk-024,Label Maker DQLab,Elektronik,27,269,912,1761
7012024,DQProduk-025,Tipe-X Roller DQLab,Alat Tulis,30,342,1790,3311
7012024,DQProduk-027,Staples + Box DQLab,Perlengkapan Meja,121,1168,6158,10496
7012024,DQProduk-030,Powerbank Logo DQLab,Elektronik,86,935,3294,5931
7012024,DQProduk-031,Lakban + Cutter DQLab,Pengemasan,23,268,1523,2069
7012024,DQProduk-033,Tumbler Logo DQLab,Merchandise,1,12,46,77
7012024,DQProduk-034,Speaker Mini DQLab,Elektronik,112,1079,5524,10794
8012024,DQProduk-001,Buku Agenda DQLab,Merchandise,138,1493,4766,8094
8012024,DQProduk-002,Termos Logo DQLab,Merchandise,55,466,1942,3344
8012024,DQProduk-003,Sticky Notes DQLab,Alat Tulis,12,141,686,1068
8012024,DQProduk-004,Notebook A5 DQLab,Buku Catatan,12,138,768,1094
8012024,DQProduk-005,Dompet Kartu DQLab,Merchandise,41,404,1251,2080
8012024,DQProduk-006,Earphone Kantor DQLab,Elektronik,337,3619,20437,33271
8012024,DQProduk-007,Botol Minum DQLab,Merchandise,112,907,5047,8783
8012024,DQProduk-008,Kartu Nama DQLab,Kertas & Cetak,332,3937,22087,40585
8012024,DQProduk-009,Pulpen Metal DQLab,Alat Tulis,106,968,3272,5452
8012024,DQProduk-010,Kotak Serbaguna DQLab,Organisasi,35,353,1443,1949
8012024,DQProduk-014,Label Nama DQLab,Kertas & Cetak,108,1012,3491,3689
8012024,DQProduk-017,Set Tulis Eksekutif DQLab,Merchandise,24,228,1192,2069
8012024,DQProduk-018,Printer Mini DQLab,Elektronik,20,229,1028,2030
8012024,DQProduk-021,Kalkulator Besar DQLab,Elektronik,66,550,2663,4522
8012024,DQProduk-022,Map Eksklusif DQLab,Organisasi,6,54,302,562
8012024,DQProduk-024,Label Maker DQLab,Elektronik,18,199,1146,1210
8012024,DQProduk-025,Tipe-X Roller DQLab,Alat Tulis,105,845,3981,4929
8012024,DQProduk-027,Staples + Box DQLab,Perlengkapan Meja,59,681,3747,5916
8012024,DQProduk-030,Powerbank Logo DQLab,Elektronik,97,1039,5105,5778
8012024,DQProduk-031,Lakban + Cutter DQLab,Pengemasan,59,559,2951,3391
8012024,DQProduk-033,Tumbler Logo DQLab,Merchandise,25,280,1130,2126
8012024,DQProduk-034,Speaker Mini DQLab,Elektronik,33,378,2097,3069
9012024,DQProduk-001,Buku Agenda DQLab,Merchandise,135,1186,4849,5088
9012024,DQProduk-003,Sticky Notes DQLab,Alat Tulis,5,58,77024,18144
9012024,DQProduk-005,Dompet Kartu DQLab,Merchandise,4,48,198,357
9012024,DQProduk-006,Earphone Kantor DQLab,Elektronik,304,2650,11981,22970
9012024,DQProduk-007,Botol Minum DQLab,Merchandise,8,71,250,469
9012024,DQProduk-008,Kartu Nama DQLab,Kertas & Cetak,89,905,3750,5013
9012024,DQProduk-009,Pulpen Metal DQLab,Alat Tulis,19,214,865,1584
9012024,DQProduk-010,Kotak Serbaguna DQLab,Organisasi,29,255,1469,2329
9012024,DQProduk-014,Label Nama DQLab,Kertas & Cetak,5,49,253,389
9012024,DQProduk-017,Set Tulis Eksekutif DQLab,Merchandise,9,107,395,640
9012024,DQProduk-018,Printer Mini DQLab,Elektronik,39,357,1458,1628
9012024,DQProduk-022,Map Eksklusif DQLab,Organisasi,13,141,539,995
9012024,DQProduk-024,Label Maker DQLab,Elektronik,8,91,386,749
9012024,DQProduk-025,Tipe-X Roller DQLab,Alat Tulis,19,228,1349,2569
9012024,DQProduk-027,Staples + Box DQLab,Perlengkapan Meja,43,397,1435,2233
9012024,DQProduk-030,Powerbank Logo DQLab,Elektronik,33,365,1119,1203
9012024,DQProduk-031,Lakban + Cutter DQLab,Pengemasan,39,382,1431,2478
9012024,DQProduk-033,Tumbler Logo DQLab,Merchandise,18,208,711,1273
9012024,DQProduk-034,Speaker Mini DQLab,Elektronik,14,142,631,884
10012024,DQProduk-001,Buku Agenda DQLab,Merchandise,117,1038,5704,7842
10012024,DQProduk-002,Termos Logo DQLab,Merchandise,26,294,1365,2672
10012024,DQProduk-004,Notebook A5 DQLab,Buku Catatan,22,177,1002,1859
10012024,DQProduk-006,Earphone Kantor DQLab,Elektronik,269,2465,14474,14536
10012024,DQProduk-007,Botol Minum DQLab,Merchandise,17,174,793,1157
10012024,DQProduk-008,Kartu Nama DQLab,Kertas & Cetak,76,824,3615,5262
10012024,DQProduk-009,Pulpen Metal DQLab,Alat Tulis,77,791,3911,4480
10012024,DQProduk-010,Kotak Serbaguna DQLab,Organisasi,12,135,592,626
10012024,DQProduk-014,Label Nama DQLab,Kertas & Cetak,3,32,131,231
10012024,DQProduk-017,Set Tulis Eksekutif DQLab,Merchandise,27,260,1451,2088
10012024,DQProduk-021,Kalkulator Besar DQLab,Elektronik,16,164,908,1044
10012024,DQProduk-024,Label Maker DQLab,Elektronik,9,102,297732,32256
10012024,DQProduk-025,Tipe-X Roller DQLab,Alat Tulis,23,275,1197,1828
10012024,DQProduk-027,Staples + Box DQLab,Perlengkapan Meja,21,243,1183,1332
10012024,DQProduk-030,Powerbank Logo DQLab,Elektronik,44,438,1639,2255
10012024,DQProduk-031,Lakban + Cutter DQLab,Pengemasan,46,420,2142,3901
10012024,DQProduk-033,Tumbler Logo DQLab,Merchandise,35,292,1625,1877
10012024,DQProduk-034,Speaker Mini DQLab,Elektronik,20,160,491,761
11012024,DQProduk-001,Buku Agenda DQLab,Merchandise,99,955,5087,8231
11012024,DQProduk-002,Termos Logo DQLab,Merchandise,51,513,2839,5182
11012024,DQProduk-006,Earphone Kantor DQLab,Elektronik,249,2579,12033,21729
11012024,DQProduk-007,Botol Minum DQLab,Merchandise,20,211,710,719
11012024,DQProduk-008,Kartu Nama DQLab,Kertas & Cetak,144,1559,5322,10444
11012024,DQProduk-009,Pulpen Metal DQLab,Alat Tulis,49,494,2253,4192
11012024,DQProduk-014,Label Nama DQLab,Kertas & Cetak,9,92,514,755
11012024,DQProduk-017,Set Tulis Eksekutif DQLab,Merchandise,22,254,1132,1861
11012024,DQProduk-018,Printer Mini DQLab,Elektronik,37,324,1770,2096
11012024,DQProduk-020,Papan Klip DQLab,Perlengkapan Meja,2,23,117,172
11012024,DQProduk-021,Kalkulator Besar DQLab,Elektronik,14,116,457,569
11012024,DQProduk-022,Map Eksklusif DQLab,Organisasi,7,82,418,458
11012024,DQProduk-024,Label Maker DQLab,Elektronik,50,567,1893,2137
11012024,DQProduk-025,Tipe-X Roller DQLab,Alat Tulis,21,227,904,1311
11012024,DQProduk-027,Staples + Box DQLab,Perlengkapan Meja,7,56,289,530
11012024,DQProduk-030,Powerbank Logo DQLab,Elektronik,48,500,2511,3826
11012024,DQProduk-031,Lakban + Cutter DQLab,Pengemasan,34,306,1710,1930
11012024,DQProduk-033,Tumbler Logo DQLab,Merchandise,16,139,517,638
11012024,DQProduk-034,Speaker Mini DQLab,Elektronik,9,96,480,958
12012024,DQProduk-001,Buku Agenda DQLab,Merchandise,63,640,3046,3486
12012024,DQProduk-002,Termos Logo DQLab,Merchandise,36,393,1971,2973
12012024,DQProduk-005,Dompet Kartu DQLab,Merchandise,15,163,678,1310
12012024,DQProduk-006,Earphone Kantor DQLab,Elektronik,209,2180,13048,23111
12012024,DQProduk-007,Botol Minum DQLab,Merchandise,102,1001,4538,8573
12012024,DQProduk-008,Kartu Nama DQLab,Kertas & Cetak,112,1337,4575,4640
12012024,DQProduk-009,Pulpen Metal DQLab,Alat Tulis,81,756,3636,4433
12012024,DQProduk-014,Label Nama DQLab,Kertas & Cetak,7,63,295,562
12012024,DQProduk-017,Set Tulis Eksekutif DQLab,Merchandise,7,74,324,334
12012024,DQProduk-018,Printer Mini DQLab,Elektronik,31,320,1744,3113
12012024,DQProduk-021,Kalkulator Besar DQLab,Elektronik,8,94,380,480
12012024,DQProduk-024,Label Maker DQLab,Elektronik,68,750,3292,5944
12012024,DQProduk-025,Tipe-X Roller DQLab,Alat Tulis,27,320,1329,1519
12012024,DQProduk-027,Staples + Box DQLab,Perlengkapan Meja,62,713,2583,2971
12012024,DQProduk-030,Powerbank Logo DQLab,Elektronik,47,483,1607,2552
12012024,DQProduk-031,Lakban + Cutter DQLab,Pengemasan,39,367,1224,2048
12012024,DQProduk-034,Speaker Mini DQLab,Elektronik,8,80,462,876
13012024,DQProduk-001,Buku Agenda DQLab,Merchandise,129,1227,5576,9874
13012024,DQProduk-002,Termos Logo DQLab,Merchandise,59,512,2529,4381
13012024,DQProduk-003,Sticky Notes DQLab,Alat Tulis,3,28,133,197
13012024,DQProduk-005,Dompet Kartu DQLab,Merchandise,13,122,565,1028
13012024,DQProduk-006,Earphone Kantor DQLab,Elektronik,324,3542,20592,37852
13012024,DQProduk-007,Botol Minum DQLab,Merchandise,39,439,2510,2547
13012024,DQProduk-008,Kartu Nama DQLab,Kertas & Cetak,120,981,4341,4805
13012024,DQProduk-009,Pulpen Metal DQLab,Alat Tulis,76,761,3087,3271
13012024,DQProduk-010,Kotak Serbaguna DQLab,Organisasi,5,47,268,477
13012024,DQProduk-014,Label Nama DQLab,Kertas & Cetak,36,365,2184,4309
13012024,DQProduk-017,Set Tulis Eksekutif DQLab,Merchandise,32,336,1543,2678
13012024,DQProduk-018,Printer Mini DQLab,Elektronik,84,717,4142,7984
13012024,DQProduk-021,Kalkulator Besar DQLab,Elektronik,42,502,1881,1926
13012024,DQProduk-024,Label Maker DQLab,Elektronik,36,420,2266,3138
13012024,DQProduk-025,Tipe-X Roller DQLab,Alat Tulis,74,697,2116,3590
13012024,DQProduk-027,Staples + Box DQLab,Perlengkapan Meja,64,657,2324,3813
13012024,DQProduk-030,Powerbank Logo DQLab,Elektronik,76,864,4669,8054
13012024,DQProduk-031,Lakban + Cutter DQLab,Pengemasan,20,211,874,1571
13012024,DQProduk-033,Tumbler Logo DQLab,Merchandise,32,258,915,1121
13012024,DQProduk-034,Speaker Mini DQLab,Elektronik,24,224,887,930
14012024,DQProduk-001,Buku Agenda DQLab,Merchandise,194,1716,5259,6050
14012024,DQProduk-002,Termos Logo DQLab,Merchandise,32,298,1578,1713
14012024,DQProduk-004,Notebook A5 DQLab,Buku Catatan,12,110,497,732
14012024,DQProduk-005,Dompet Kartu DQLab,Merchandise,6,62,362,561
14012024,DQProduk-006,Earphone Kantor DQLab,Elektronik,246,2373,11941,14597
14012024,DQProduk-007,Botol Minum DQLab,Merchandise,51,451,1688,2124
14012024,DQProduk-008,Kartu Nama DQLab,Kertas & Cetak,228,2147,12168,16020
14012024,DQProduk-009,Pulpen Metal DQLab,Alat Tulis,127,1028,3527,6301
14012024,DQProduk-010,Kotak Serbaguna DQLab,Organisasi,17,187,1118,1753
14012024,DQProduk-014,Label Nama DQLab,Kertas & Cetak,16,149,680,1020
14012024,DQProduk-017,Set Tulis Eksekutif DQLab,Merchandise,15,141,540,772
14012024,DQProduk-018,Printer Mini DQLab,Elektronik,60,556,1838,3380
14012024,DQProduk-021,Kalkulator Besar DQLab,Elektronik,74,879,4821,6321
14012024,DQProduk-022,Map Eksklusif DQLab,Organisasi,9,91,412,620
14012024,DQProduk-024,Label Maker DQLab,Elektronik,47,443,1575,1762
14012024,DQProduk-025,Tipe-X Roller DQLab,Alat Tulis,53,602,1890,3446
14012024,DQProduk-027,Staples + Box DQLab,Perlengkapan Meja,102,1200,6154,9017
14012024,DQProduk-030,Powerbank Logo DQLab,Elektronik,87,817,4235,5615
14012024,DQProduk-031,Lakban + Cutter DQLab,Pengemasan,87,786,4380,7807
14012024,DQProduk-034,Speaker Mini DQLab,Elektronik,48,416,2371,3037
15012024,DQProduk-001,Buku Agenda DQLab,Merchandise,194,2028,6291,11160
15012024,DQProduk-002,Termos Logo DQLab,Merchandise,69,643,3177,4908
15012024,DQProduk-003,Sticky Notes DQLab,Alat Tulis,10,107,590,853
15012024,DQProduk-004,Notebook A5 DQLab,Buku Catatan,12,131,434,580
15012024,DQProduk-005,Dompet Kartu DQLab,Merchandise,9,90,521,940
15012024,DQProduk-006,Earphone Kantor DQLab,Elektronik,325,2697,10899,17915
15012024,DQProduk-007,Botol Minum DQLab,Merchandise,118,1032,3883,4234
15012024,DQProduk-008,Kartu Nama DQLab,Kertas & Cetak,371,3655,18685,36014
15012024,DQProduk-009,Pulpen Metal DQLab,Alat Tulis,104,1146,4955,7693
15012024,DQProduk-010,Kotak Serbaguna DQLab,Organisasi,36,337,1654,2482
15012024,DQProduk-014,Label Nama DQLab,Kertas & Cetak,67,793,2746,5259
15012024,DQProduk-017,Set Tulis Eksekutif DQLab,Merchandise,65,762,3519,4804
15012024,DQProduk-018,Printer Mini DQLab,Elektronik,68,565,3179,6188
15012024,DQProduk-021,Kalkulator Besar DQLab,Elektronik,25,281,1087,1726
15012024,DQProduk-024,Label Maker DQLab,Elektronik,80,840,3064,5797
15012024,DQProduk-025,Tipe-X Roller DQLab,Alat Tulis,54,588,3169,3457
15012024,DQProduk-027,Staples + Box DQLab,Perlengkapan Meja,86,732,2337,3160
15012024,DQProduk-030,Powerbank Logo DQLab,Elektronik,44,457,2704,3092
15012024,DQProduk-031,Lakban + Cutter DQLab,Pengemasan,50,479,1491,2330
15012024,DQProduk-033,Tumbler Logo DQLab,Merchandise,25,289,1489,2608
15012024,DQProduk-034,Speaker Mini DQLab,Elektronik,2,23,110,144
16012024,DQProduk-001,Buku Agenda DQLab,Merchandise,36,412,2302,3838
16012024,DQProduk-002,Termos Logo DQLab,Merchandise,27,248,931,1802
16012024,DQProduk-004,Notebook A5 DQLab,Buku Catatan,12,115,424,527
16012024,DQProduk-006,Earphone Kantor DQLab,Elektronik,267,2982,14302,25736
16012024,DQProduk-007,Botol Minum DQLab,Merchandise,36,407,1747,3176
16012024,DQProduk-008,Kartu Nama DQLab,Kertas & Cetak,83,919,4316,7427
16012024,DQProduk-009,Pulpen Metal DQLab,Alat Tulis,42,428,2151,2624
16012024,DQProduk-010,Kotak Serbaguna DQLab,Organisasi,11,132,493,792
16012024,DQProduk-014,Label Nama DQLab,Kertas & Cetak,27,257,1157,1565
16012024,DQProduk-017,Set Tulis Eksekutif DQLab,Merchandise,10,97,554,616
16012024,DQProduk-018,Printer Mini DQLab,Elektronik,42,492,2338,4084
16012024,DQProduk-024,Label Maker DQLab,Elektronik,15,147,458,746
16012024,DQProduk-025,Tipe-X Roller DQLab,Alat Tulis,46,472,1964,3267
16012024,DQProduk-027,Staples + Box DQLab,Perlengkapan Meja,40,333,1993,3320
16012024,DQProduk-030,Powerbank Logo DQLab,Elektronik,77,874,5216,9176
16012024,DQProduk-031,Lakban + Cutter DQLab,Pengemasan,27,297,1279,1311
16012024,DQProduk-033,Tumbler Logo DQLab,Merchandise,8,81,336,533
17012024,DQProduk-001,Buku Agenda DQLab,Merchandise,51,488,2857,5206
17012024,DQProduk-002,Termos Logo DQLab,Merchandise,47,457,2182,3248
17012024,DQProduk-005,Dompet Kartu DQLab,Merchandise,5,52,233,425
17012024,DQProduk-006,Earphone Kantor DQLab,Elektronik,369,3068,17232,30711
17012024,DQProduk-007,Botol Minum DQLab,Merchandise,32,381,1416,2403
17012024,DQProduk-008,Kartu Nama DQLab,Kertas & Cetak,44,427,1932,3248
17012024,DQProduk-009,Pulpen Metal DQLab,Alat Tulis,62,706,2130,3539
17012024,DQProduk-014,Label Nama DQLab,Kertas & Cetak,51,544,2318,3896
17012024,DQProduk-017,Set Tulis Eksekutif DQLab,Merchandise,29,308,1043,1878
17012024,DQProduk-018,Printer Mini DQLab,Elektronik,70,755,3066,6054
17012024,DQProduk-020,Papan Klip DQLab,Perlengkapan Meja,11,122,680,936
17012024,DQProduk-021,Kalkulator Besar DQLab,Elektronik,10,95,497,900
17012024,DQProduk-025,Tipe-X Roller DQLab,Alat Tulis,12,112,493,504
17012024,DQProduk-027,Staples + Box DQLab,Perlengkapan Meja,59,644,2052,2435
17012024,DQProduk-030,Powerbank Logo DQLab,Elektronik,15,159,906,1584
17012024,DQProduk-031,Lakban + Cutter DQLab,Pengemasan,57,522,2657,2790
