stock_id,date,product_name,product_category,unit_sold,price,cost,stock_available
DQ-KC-KND,1/3/2024,Kartu Nama DQLab,Kertas & Cetak,53,104850,59850,76
DQ-AT-PMD,1/3/2024,Pulpen Metal DQLab,Alat Tulis,28,164850,149850,46
DQ-O-KSD,1/3/2024,Kotak Serbaguna DQLab,Organisasi,26,224850,164850,125
DQ-KC-LND,1/3/2024,Label Nama DQLab,Kertas & Cetak,27,164850,89850,89
DQ-M-STED,1/3/2024,Set Tulis Eksekutif DQLab,Merchandise,41,299850,209850,52
DQ-E-PMD,1/3/2024,Printer Mini DQLab,Elektronik,69,599850,524850,162
DQ-E-KBD,1/3/2024,Kalkulator Besar DQLab,Elektronik,8,149850,104850,77
DQ-O-MED,1/3/2024,Map Eksklusif DQLab,Organisasi,11,299850,209850,91
DQ-E-LMD,1/3/2024,Label Maker DQLab,Elektronik,29,299850,224850,82
DQ-AT-TRD,1/3/2024,Tipe-X Roller DQLab,Alat Tulis,15,44850,29850,32
DQ-PM-SBD,1/3/2024,Staples + Box DQLab,Perlengkapan Meja,35,74850,59850,91
DQ-E-PLD,1/3/2024,Powerbank Logo DQLab,Elektronik,20,299850,269850,64
DQ-P-LCD,1/3/2024,Lakban + Cutter DQLab,Pengemasan,43,134850,119850,130
DQ-M-TLD,1/3/2024,Tumbler Logo DQLab,Merchandise,18,194850,164850,108
DQ-KC-KUD,1/3/2024,Kartu Ucapan DQLab,Kertas & Cetak,14,119850,59850,59
DQ-KC-KUD,1/3/2024,Kartu Ucapan DQLab,Kertas & Cetak,14,119850,59850,59
DQ-M-BAD,1/4/2024,Buku Agenda DQLab,Merchandise,58,239850,149850,117
DQ-M-TLD,1/4/2024,Termos Logo DQLab,Merchandise,56,194850,149850,69
DQ-AT-SND,1/4/2024,Sticky Notes DQLab,Alat Tulis,21,59850,29850,32
DQ-E-EKD,1/4/2024,Earphone Kantor DQLab,Elektronik,250,224850,104850,265
DQ-M-BMD,1/4/2024,Botol Minum DQLab,Merchandise,29,239850,179850,92
DQ-KC-KND,1/4/2024,Kartu Nama DQLab,Kertas & Cetak,88,104850,59850,101
DQ-AT-PMD,1/4/2024,Pulpen Metal DQLab,Alat Tulis,22,164850,149850,85
DQ-O-KSD,1/4/2024,Kotak Serbaguna DQLab,Organisasi,59,224850,164850,131
DQ-KC-LND,1/4/2024,Label Nama DQLab,Kertas & Cetak,22,164850,89850,49
DQ-M-STED,1/4/2024,Set Tulis Eksekutif DQLab,Merchandise,70,299850,209850,169
DQ-E-PMD,1/4/2024,Printer Mini DQLab,Elektronik,43,599850,524850,96
DQ-PM-PKD,1/4/2024,Papan Klip DQLab,Perlengkapan Meja,56,374850,134850,99
DQ-E-KBD,1/4/2024,Kalkulator Besar DQLab,Elektronik,41,149850,104850,124
DQ-O-MED,1/4/2024,Map Eksklusif DQLab,Organisasi,4,299850,209850,75
DQ-E-LMD,1/4/2024,Label Maker DQLab,Elektronik,12,299850,224850,35
DQ-AT-TRD,1/4/2024,Tipe-X Roller DQLab,Alat Tulis,35,44850,29850,92
DQ-PM-SBD,1/4/2024,Staples + Box DQLab,Perlengkapan Meja,9,74850,59850,33
DQ-E-PLD,1/4/2024,Powerbank Logo DQLab,Elektronik,33,299850,269850,114
DQ-P-LCD,1/4/2024,Lakban + Cutter DQLab,Pengemasan,31,134850,119850,118
DQ-E-SMD,1/4/2024,Speaker Mini DQLab,Elektronik,21,389850,314850,117
DQ-M-BAD,1/5/2024,Buku Agenda DQLab,Merchandise,160,239850,149850,231
DQ-M-TLD,1/5/2024,Termos Logo DQLab,Merchandise,27,194850,149850,76
DQ-BC-NAD,1/5/2024,Notebook A5 DQLab,Buku Catatan,6,194850,149850,100
DQ-M-DKD,1/5/2024,Dompet Kartu DQLab,Merchandise,30,149850,119850,119
DQ-E-EKD,1/5/2024,Earphone Kantor DQLab,Elektronik,314,224850,104850,405
DQ-M-BMD,1/5/2024,Botol Minum DQLab,Merchandise,67,239850,179850,129
DQ-KC-KND,1/5/2024,Kartu Nama DQLab,Kertas & Cetak,116,104850,59850,149
DQ-AT-PMD,1/5/2024,Pulpen Metal DQLab,Alat Tulis,125,164850,149850,160
DQ-O-KSD,1/5/2024,Kotak Serbaguna DQLab,Organisasi,21,224850,164850,119
DQ-KC-LND,1/5/2024,Label Nama DQLab,Kertas & Cetak,46,164850,89850,115
DQ-M-STED,1/5/2024,Set Tulis Eksekutif DQLab,Merchandise,56,299850,209850,106
DQ-E-PMD,1/5/2024,Printer Mini DQLab,Elektronik,45,599850,524850,83
DQ-E-KBD,1/5/2024,Kalkulator Besar DQLab,Elektronik,34,149850,104850,58
DQ-E-LMD,1/5/2024,Label Maker DQLab,Elektronik,21,299850,224850,75
DQ-AT-TRD,1/5/2024,Tipe-X Roller DQLab,Alat Tulis,41,44850,29850,115
DQ-PM-SBD,1/5/2024,Staples + Box DQLab,Perlengkapan Meja,81,74850,59850,179
DQ-E-PLD,1/5/2024,Powerbank Logo DQLab,Elektronik,120,299850,269850,200
DQ-P-LCD,1/5/2024,Lakban + Cutter DQLab,Pengemasan,26,134850,119850,44
DQ-E-SMD,1/5/2024,Speaker Mini DQLab,Elektronik,34,389850,314850,131
DQ-M-BAD,1/6/2024,Buku Agenda DQLab,Merchandise,219,239850,149850,229
DQ-M-TLD,1/6/2024,Termos Logo DQLab,Merchandise,81,194850,149850,98
DQ-M-DKD,1/6/2024,Dompet Kartu DQLab,Merchandise,11,149850,119850,108
DQ-E-EKD,1/6/2024,Earphone Kantor DQLab,Elektronik,189,224850,104850,261
DQ-M-BMD,1/6/2024,Botol Minum DQLab,Merchandise,235,239850,179850,255
DQ-KC-KND,1/6/2024,Kartu Nama DQLab,Kertas & Cetak,110,104850,59850,200
DQ-AT-PMD,1/6/2024,Pulpen Metal DQLab,Alat Tulis,145,164850,149850,162
DQ-O-KSD,1/6/2024,Kotak Serbaguna DQLab,Organisasi,67,224850,164850,111
DQ-KC-LND,1/6/2024,Label Nama DQLab,Kertas & Cetak,83,164850,89850,127
DQ-M-STED,1/6/2024,Set Tulis Eksekutif DQLab,Merchandise,114,299850,209850,156
DQ-E-PMD,1/6/2024,Printer Mini DQLab,Elektronik,39,599850,524850,53
DQ-PM-PKD,1/6/2024,Papan Klip DQLab,Perlengkapan Meja,7,374850,134850,57
DQ-E-KBD,1/6/2024,Kalkulator Besar DQLab,Elektronik,56,149850,104850,93
DQ-O-MED,1/6/2024,Map Eksklusif DQLab,Organisasi,1,299850,209850,17
DQ-E-LMD,1/6/2024,Label Maker DQLab,Elektronik,79,299850,224850,161
DQ-AT-TRD,1/6/2024,Tipe-X Roller DQLab,Alat Tulis,24,44850,29850,105
DQ-PM-SBD,1/6/2024,Staples + Box DQLab,Perlengkapan Meja,132,74850,59850,153
DQ-E-PLD,1/6/2024,Powerbank Logo DQLab,Elektronik,67,299850,269850,110
DQ-P-LCD,1/6/2024,Lakban + Cutter DQLab,Pengemasan,13,134850,119850,55
DQ-M-TLD,1/6/2024,Tumbler Logo DQLab,Merchandise,10,194850,164850,67
DQ-E-SMD,1/6/2024,Speaker Mini DQLab,Elektronik,64,389850,314850,96
DQ-M-BAD,1/7/2024,Buku Agenda DQLab,Merchandise,38,239850,149850,109
DQ-M-TLD,1/7/2024,Termos Logo DQLab,Merchandise,134,194850,149850,231
DQ-BC-NAD,1/7/2024,Notebook A5 DQLab,Buku Catatan,3,194850,149850,49
DQ-M-DKD,1/7/2024,Dompet Kartu DQLab,Merchandise,7,149850,119850,60
DQ-E-EKD,1/7/2024,Earphone Kantor DQLab,Elektronik,230,224850,104850,325
DQ-M-BMD,1/7/2024,Botol Minum DQLab,Merchandise,77,239850,179850,121
DQ-KC-KND,1/7/2024,Kartu Nama DQLab,Kertas & Cetak,85,104850,59850,159
DQ-AT-PMD,1/7/2024,Pulpen Metal DQLab,Alat Tulis,115,164850,149850,171
DQ-O-KSD,1/7/2024,Kotak Serbaguna DQLab,Organisasi,4,224850,164850,91
DQ-KC-LND,1/7/2024,Label Nama DQLab,Kertas & Cetak,53,164850,89850,65
DQ-M-STED,1/7/2024,Set Tulis Eksekutif DQLab,Merchandise,76,299850,209850,86
DQ-E-PMD,1/7/2024,Printer Mini DQLab,Elektronik,101,599850,524850,115
DQ-PM-PKD,1/7/2024,Papan Klip DQLab,Perlengkapan Meja,6,374850,134850,105
DQ-E-KBD,1/7/2024,Kalkulator Besar DQLab,Elektronik,50,149850,104850,73
DQ-E-LMD,1/7/2024,Label Maker DQLab,Elektronik,27,299850,224850,63
DQ-AT-TRD,1/7/2024,Tipe-X Roller DQLab,Alat Tulis,30,44850,29850,48
DQ-PM-SBD,1/7/2024,Staples + Box DQLab,Perlengkapan Meja,121,74850,59850,209
DQ-E-PLD,1/7/2024,Powerbank Logo DQLab,Elektronik,86,299850,269850,110
DQ-P-LCD,1/7/2024,Lakban + Cutter DQLab,Pengemasan,23,134850,119850,122
DQ-M-TLD,1/7/2024,Tumbler Logo DQLab,Merchandise,1,194850,164850,52
DQ-E-SMD,1/7/2024,Speaker Mini DQLab,Elektronik,112,389850,314850,198
DQ-M-BAD,1/8/2024,Buku Agenda DQLab,Merchandise,138,239850,149850,198
DQ-M-TLD,1/8/2024,Termos Logo DQLab,Merchandise,55,194850,149850,127
DQ-AT-SND,1/8/2024,Sticky Notes DQLab,Alat Tulis,12,59850,29850,73
DQ-BC-NAD,1/8/2024,Notebook A5 DQLab,Buku Catatan,12,194850,149850,25
DQ-M-DKD,1/8/2024,Dompet Kartu DQLab,Merchandise,41,149850,119850,73
DQ-E-EKD,1/8/2024,Earphone Kantor DQLab,Elektronik,337,224850,104850,361
DQ-M-BMD,1/8/2024,Botol Minum DQLab,Merchandise,112,239850,179850,164
DQ-KC-KND,1/8/2024,Kartu Nama DQLab,Kertas & Cetak,332,104850,59850,370
DQ-AT-PMD,1/8/2024,Pulpen Metal DQLab,Alat Tulis,106,164850,149850,151
DQ-O-KSD,1/8/2024,Kotak Serbaguna DQLab,Organisasi,35,224850,164850,57
DQ-KC-LND,1/8/2024,Label Nama DQLab,Kertas & Cetak,108,164850,89850,149
DQ-M-STED,1/8/2024,Set Tulis Eksekutif DQLab,Merchandise,24,299850,209850,104
DQ-E-PMD,1/8/2024,Printer Mini DQLab,Elektronik,20,599850,524850,88
DQ-E-KBD,1/8/2024,Kalkulator Besar DQLab,Elektronik,66,149850,104850,161
DQ-O-MED,1/8/2024,Map Eksklusif DQLab,Organisasi,6,299850,209850,43
DQ-E-LMD,1/8/2024,Label Maker DQLab,Elektronik,18,299850,224850,93
DQ-AT-TRD,1/8/2024,Tipe-X Roller DQLab,Alat Tulis,105,44850,29850,156
DQ-PM-SBD,1/8/2024,Staples + Box DQLab,Perlengkapan Meja,59,74850,59850,113
DQ-E-PLD,1/8/2024,Powerbank Logo DQLab,Elektronik,97,299850,269850,168
DQ-P-LCD,1/8/2024,Lakban + Cutter DQLab,Pengemasan,59,134850,119850,125
DQ-M-TLD,1/8/2024,Tumbler Logo DQLab,Merchandise,25,194850,164850,40
DQ-E-SMD,1/8/2024,Speaker Mini DQLab,Elektronik,33,389850,314850,70
DQ-M-BAD,1/9/2024,Buku Agenda DQLab,Merchandise,135,239850,149850,172
DQ-AT-SND,1/9/2024,Sticky Notes DQLab,Alat Tulis,5,59850,29850,58
DQ-M-DKD,1/9/2024,Dompet Kartu DQLab,Merchandise,4,149850,119850,97
DQ-E-EKD,1/9/2024,Earphone Kantor DQLab,Elektronik,304,224850,104850,343
DQ-M-BMD,1/9/2024,Botol Minum DQLab,Merchandise,8,239850,179850,79
DQ-KC-KND,1/9/2024,Kartu Nama DQLab,Kertas & Cetak,89,104850,59850,173
DQ-AT-PMD,1/9/2024,Pulpen Metal DQLab,Alat Tulis,19,164850,149850,117
DQ-O-KSD,1/9/2024,Kotak Serbaguna DQLab,Organisasi,29,224850,164850,100
DQ-KC-LND,1/9/2024,Label Nama DQLab,Kertas & Cetak,5,164850,89850,15
DQ-M-STED,1/9/2024,Set Tulis Eksekutif DQLab,Merchandise,9,299850,209850,45
DQ-E-PMD,1/9/2024,Printer Mini DQLab,Elektronik,39,599850,524850,110
DQ-O-MED,1/9/2024,Map Eksklusif DQLab,Organisasi,13,299850,209850,99
DQ-E-LMD,1/9/2024,Label Maker DQLab,Elektronik,8,299850,224850,20
DQ-AT-TRD,1/9/2024,Tipe-X Roller DQLab,Alat Tulis,19,44850,29850,98
DQ-PM-SBD,1/9/2024,Staples + Box DQLab,Perlengkapan Meja,43,74850,59850,124
DQ-E-PLD,1/9/2024,Powerbank Logo DQLab,Elektronik,33,299850,269850,69
DQ-P-LCD,1/9/2024,Lakban + Cutter DQLab,Pengemasan,39,134850,119850,57
DQ-M-TLD,1/9/2024,Tumbler Logo DQLab,Merchandise,18,194850,164850,89
DQ-E-SMD,1/9/2024,Speaker Mini DQLab,Elektronik,14,389850,314850,60
DQ-M-BAD,1/10/2024,Buku Agenda DQLab,Merchandise,117,239850,149850,177
DQ-M-TLD,1/10/2024,Termos Logo DQLab,Merchandise,26,194850,149850,79
DQ-BC-NAD,1/10/2024,Notebook A5 DQLab,Buku Catatan,22,194850,149850,55
DQ-E-EKD,1/10/2024,Earphone Kantor DQLab,Elektronik,269,224850,104850,357
DQ-M-BMD,1/10/2024,Botol Minum DQLab,Merchandise,17,239850,179850,85
DQ-KC-KND,1/10/2024,Kartu Nama DQLab,Kertas & Cetak,76,104850,59850,117
DQ-AT-PMD,1/10/2024,Pulpen Metal DQLab,Alat Tulis,77,164850,149850,174
DQ-O-KSD,1/10/2024,Kotak Serbaguna DQLab,Organisasi,12,224850,164850,73
DQ-KC-LND,1/10/2024,Label Nama DQLab,Kertas & Cetak,3,164850,89850,74
DQ-M-STED,1/10/2024,Set Tulis Eksekutif DQLab,Merchandise,27,299850,209850,94
DQ-E-KBD,1/10/2024,Kalkulator Besar DQLab,Elektronik,16,149850,104850,77
DQ-E-LMD,1/10/2024,Label Maker DQLab,Elektronik,9,299850,224850,30
DQ-AT-TRD,1/10/2024,Tipe-X Roller DQLab,Alat Tulis,23,44850,29850,71
DQ-PM-SBD,1/10/2024,Staples + Box DQLab,Perlengkapan Meja,21,74850,59850,32
DQ-E-PLD,1/10/2024,Powerbank Logo DQLab,Elektronik,44,299850,269850,56
DQ-P-LCD,1/10/2024,Lakban + Cutter DQLab,Pengemasan,46,134850,119850,111
DQ-M-TLD,1/10/2024,Tumbler Logo DQLab,Merchandise,35,194850,164850,125
DQ-E-SMD,1/10/2024,Speaker Mini DQLab,Elektronik,20,389850,314850,88
DQ-M-BAD,1/11/2024,Buku Agenda DQLab,Merchandise,99,239850,149850,110
DQ-M-TLD,1/11/2024,Termos Logo DQLab,Merchandise,51,194850,149850,62
DQ-E-EKD,1/11/2024,Earphone Kantor DQLab,Elektronik,249,224850,104850,312
DQ-M-BMD,1/11/2024,Botol Minum DQLab,Merchandise,20,239850,179850,116
DQ-KC-KND,1/11/2024,Kartu Nama DQLab,Kertas & Cetak,144,104850,59850,154
DQ-AT-PMD,1/11/2024,Pulpen Metal DQLab,Alat Tulis,49,164850,149850,77
DQ-KC-LND,1/11/2024,Label Nama DQLab,Kertas & Cetak,9,164850,89850,20
DQ-M-STED,1/11/2024,Set Tulis Eksekutif DQLab,Merchandise,22,299850,209850,84
DQ-E-PMD,1/11/2024,Printer Mini DQLab,Elektronik,37,599850,524850,90
DQ-PM-PKD,1/11/2024,Papan Klip DQLab,Perlengkapan Meja,2,374850,134850,101
DQ-E-KBD,1/11/2024,Kalkulator Besar DQLab,Elektronik,14,149850,104850,55
DQ-O-MED,1/11/2024,Map Eksklusif DQLab,Organisasi,7,299850,209850,86
DQ-E-LMD,1/11/2024,Label Maker DQLab,Elektronik,50,299850,224850,91
DQ-AT-TRD,1/11/2024,Tipe-X Roller DQLab,Alat Tulis,21,44850,29850,98
DQ-PM-SBD,1/11/2024,Staples + Box DQLab,Perlengkapan Meja,7,74850,59850,71
DQ-E-PLD,1/11/2024,Powerbank Logo DQLab,Elektronik,48,299850,269850,132
DQ-P-LCD,1/11/2024,Lakban + Cutter DQLab,Pengemasan,34,134850,119850,99
DQ-M-TLD,1/11/2024,Tumbler Logo DQLab,Merchandise,16,194850,164850,42
DQ-E-SMD,1/11/2024,Speaker Mini DQLab,Elektronik,9,389850,314850,56
DQ-M-BAD,1/12/2024,Buku Agenda DQLab,Merchandise,63,239850,149850,96
DQ-M-TLD,1/12/2024,Termos Logo DQLab,Merchandise,36,194850,149850,114
DQ-M-DKD,1/12/2024,Dompet Kartu DQLab,Merchandise,15,149850,119850,94
DQ-E-EKD,1/12/2024,Earphone Kantor DQLab,Elektronik,209,224850,104850,304
DQ-M-BMD,1/12/2024,Botol Minum DQLab,Merchandise,102,239850,179850,122
DQ-KC-KND,1/12/2024,Kartu Nama DQLab,Kertas & Cetak,112,104850,59850,137
DQ-AT-PMD,1/12/2024,Pulpen Metal DQLab,Alat Tulis,81,164850,149850,163
DQ-KC-LND,1/12/2024,Label Nama DQLab,Kertas & Cetak,7,164850,89850,75
DQ-M-STED,1/12/2024,Set Tulis Eksekutif DQLab,Merchandise,7,299850,209850,86
DQ-E-PMD,1/12/2024,Printer Mini DQLab,Elektronik,31,599850,524850,120
DQ-E-KBD,1/12/2024,Kalkulator Besar DQLab,Elektronik,8,149850,104850,20
DQ-E-LMD,1/12/2024,Label Maker DQLab,Elektronik,68,299850,224850,97
DQ-AT-TRD,1/12/2024,Tipe-X Roller DQLab,Alat Tulis,27,44850,29850,95
DQ-PM-SBD,1/12/2024,Staples + Box DQLab,Perlengkapan Meja,62,74850,59850,107
DQ-E-PLD,1/12/2024,Powerbank Logo DQLab,Elektronik,47,299850,269850,75
DQ-P-LCD,1/12/2024,Lakban + Cutter DQLab,Pengemasan,39,134850,119850,138
DQ-E-SMD,1/12/2024,Speaker Mini DQLab,Elektronik,8,389850,314850,84
DQ-M-BAD,1/13/2024,Buku Agenda DQLab,Merchandise,129,239850,149850,157
DQ-M-TLD,1/13/2024,Termos Logo DQLab,Merchandise,59,194850,149850,88
DQ-AT-SND,1/13/2024,Sticky Notes DQLab,Alat Tulis,3,59850,29850,83
DQ-M-DKD,1/13/2024,Dompet Kartu DQLab,Merchandise,13,149850,119850,74
DQ-E-EKD,1/13/2024,Earphone Kantor DQLab,Elektronik,324,224850,104850,366
DQ-M-BMD,1/13/2024,Botol Minum DQLab,Merchandise,39,239850,179850,88
DQ-KC-KND,1/13/2024,Kartu Nama DQLab,Kertas & Cetak,120,104850,59850,168
DQ-AT-PMD,1/13/2024,Pulpen Metal DQLab,Alat Tulis,76,164850,149850,167
DQ-O-KSD,1/13/2024,Kotak Serbaguna DQLab,Organisasi,5,224850,164850,15
DQ-KC-LND,1/13/2024,Label Nama DQLab,Kertas & Cetak,36,164850,89850,56
DQ-M-STED,1/13/2024,Set Tulis Eksekutif DQLab,Merchandise,32,299850,209850,98
DQ-E-PMD,1/13/2024,Printer Mini DQLab,Elektronik,84,599850,524850,182
DQ-E-KBD,1/13/2024,Kalkulator Besar DQLab,Elektronik,42,149850,104850,101
DQ-E-LMD,1/13/2024,Label Maker DQLab,Elektronik,36,299850,224850,68
DQ-AT-TRD,1/13/2024,Tipe-X Roller DQLab,Alat Tulis,74,44850,29850,114
DQ-PM-SBD,1/13/2024,Staples + Box DQLab,Perlengkapan Meja,64,74850,59850,115
DQ-E-PLD,1/13/2024,Powerbank Logo DQLab,Elektronik,76,299850,269850,92
DQ-P-LCD,1/13/2024,Lakban + Cutter DQLab,Pengemasan,20,134850,119850,45
DQ-M-TLD,1/13/2024,Tumbler Logo DQLab,Merchandise,32,194850,164850,131
DQ-E-SMD,1/13/2024,Speaker Mini DQLab,Elektronik,24,389850,314850,93
DQ-M-BAD,1/14/2024,Buku Agenda DQLab,Merchandise,194,239850,149850,205
DQ-M-TLD,1/14/2024,Termos Logo DQLab,Merchandise,32,194850,149850,42
DQ-BC-NAD,1/14/2024,Notebook A5 DQLab,Buku Catatan,12,194850,149850,69
DQ-M-DKD,1/14/2024,Dompet Kartu DQLab,Merchandise,6,149850,119850,27
DQ-E-EKD,1/14/2024,Earphone Kantor DQLab,Elektronik,246,224850,104850,324
DQ-M-BMD,1/14/2024,Botol Minum DQLab,Merchandise,51,239850,179850,97
DQ-KC-KND,1/14/2024,Kartu Nama DQLab,Kertas & Cetak,228,104850,59850,269
DQ-AT-PMD,1/14/2024,Pulpen Metal DQLab,Alat Tulis,127,164850,149850,145
DQ-O-KSD,1/14/2024,Kotak Serbaguna DQLab,Organisasi,17,224850,164850,45
DQ-KC-LND,1/14/2024,Label Nama DQLab,Kertas & Cetak,16,164850,89850,73
DQ-M-STED,1/14/2024,Set Tulis Eksekutif DQLab,Merchandise,15,299850,209850,104
DQ-E-PMD,1/14/2024,Printer Mini DQLab,Elektronik,60,599850,524850,72
DQ-E-KBD,1/14/2024,Kalkulator Besar DQLab,Elektronik,74,149850,104850,103
DQ-O-MED,1/14/2024,Map Eksklusif DQLab,Organisasi,9,299850,209850,42
DQ-E-LMD,1/14/2024,Label Maker DQLab,Elektronik,47,299850,224850,110
DQ-AT-TRD,1/14/2024,Tipe-X Roller DQLab,Alat Tulis,53,44850,29850,95
DQ-PM-SBD,1/14/2024,Staples + Box DQLab,Perlengkapan Meja,102,74850,59850,135
DQ-E-PLD,1/14/2024,Powerbank Logo DQLab,Elektronik,87,299850,269850,171
DQ-P-LCD,1/14/2024,Lakban + Cutter DQLab,Pengemasan,87,134850,119850,168
DQ-E-SMD,1/14/2024,Speaker Mini DQLab,Elektronik,48,389850,314850,93
DQ-M-BAD,1/15/2024,Buku Agenda DQLab,Merchandise,194,239850,149850,241
DQ-M-TLD,1/15/2024,Termos Logo DQLab,Merchandise,69,194850,149850,162
DQ-AT-SND,1/15/2024,Sticky Notes DQLab,Alat Tulis,10,59850,29850,108
DQ-BC-NAD,1/15/2024,Notebook A5 DQLab,Buku Catatan,12,194850,149850,46
DQ-M-DKD,1/15/2024,Dompet Kartu DQLab,Merchandise,9,149850,119850,36
DQ-E-EKD,1/15/2024,Earphone Kantor DQLab,Elektronik,325,224850,104850,416
DQ-M-BMD,1/15/2024,Botol Minum DQLab,Merchandise,118,239850,179850,193
DQ-KC-KND,1/15/2024,Kartu Nama DQLab,Kertas & Cetak,371,104850,59850,434
DQ-AT-PMD,1/15/2024,Pulpen Metal DQLab,Alat Tulis,104,164850,149850,148
DQ-O-KSD,1/15/2024,Kotak Serbaguna DQLab,Organisasi,36,224850,164850,125
DQ-KC-LND,1/15/2024,Label Nama DQLab,Kertas & Cetak,67,164850,89850,137
DQ-M-STED,1/15/2024,Set Tulis Eksekutif DQLab,Merchandise,65,299850,209850,115
DQ-E-PMD,1/15/2024,Printer Mini DQLab,Elektronik,68,599850,524850,110
DQ-E-KBD,1/15/2024,Kalkulator Besar DQLab,Elektronik,25,149850,104850,102
